cf_class_id,Anon Student Id,Session Id,0
c10,s177,exj7wssdlssqzjvtma4qgpoacg8:1661454162951,2
c10,s177,gn_dyn_mwlyhsnhoxu8pzqyi0ni:1669924045916,7
c10,s177,iwsrytviepjwhc0k5a-jhzifics:1667331123654,79
c10,s177,jbpdifz8khy4ilcgnzxwgobyv_u:1667853489454,1
c10,s177,m0z2wpcocfoikikwkzcre7i8yus:1663960760106,222
c10,s177,ndxo_3upojhqneuasxg-bnlxjkw:1663958803891,1
c10,s177,p04wiywtpyt_6x-wsunjcz2yvpy:1660592550288,4
c10,s177,phqt9qpby3pre3bfu8tj1pwiphi:1667590356715,34
c10,s177,q7_ogvx4d-qyelkuixarcfi0cuy:1663703560856,9
c10,s177,s1wjrdwrhzxom5z2qpwhtqvvpvg:1667501425380,28
c10,s177,t5bsiwrjljw5l6iswdtvlralbg8:1666897328321,185
c10,s177,uacu-9ugows6x9nrr6vxeksodai:1666293825258,369
c10,s177,uvtoih588sad6son55rkrbvauqk:1666812688330,1
c10,s177,vegbxpxpxkbathldtiwrwm92jk0:1668110626531,223
c10,s177,xrklaqvfdtggfiqvlir_71hgcys:1660934895374,73
c10,s177,yavccqgsfpentxatphshz4uomre:1663875649159,17
c10,s179,49htaqtpccuwn4ojko095c-ajrw:1661197289831,25
c10,s179,83lywrvbsu6sia_wjxhaes5xv5g:1669925945359,124
c10,s179,9fmxdeoutu_zyo_07wzqwbprjmo:1667502934536,329
c10,s179,9tbsh65j2u4gfdhmu_gz5cs3rxc:1662058390692,67
c10,s179,evchzoysnbqlifrsfxhta5dyom8:1661454323771,2
c10,s179,f7ced02mibc6k5pyvbdo7fgbqi8:1663269992808,136
c10,s179,gwmudwcru5sjbwfoo6yyonne1sq:1660592209252,73
c10,s179,h1rl2kvtm2h0cr_6q7wukvvgj_c:1661541923241,17
c10,s179,hviydj05r7cjspjxosdbffiwk1k:1668543676867,120
c10,s179,hw-kt8klcekmb9j519kwnnutvky:1661801250530,62
c10,s179,p6ebrxootl_rz0hjvbuhwuxqmru:1661888946213,43
c10,s179,u6kngvd3kpyhi_ghvhy_uyw_wlm:1666725203518,36
c10,s179,vqybfzzto2g5oad0dlymp-xdoec:1669924253677,16
c10,s179,wiy8kkk3c4nydtobaccldt3vglk:1667853474207,13
c10,s18,-8ngqltjicdrsoms9ptlxzd47_i:1660762091521,18
c10,s18,-i8l0gv3z1kdw3m62pmmtkc_qk0:1661971646026,6
c10,s18,0mo1vudeq1boihlcywd1yvlvuae:1662253964483,12
c10,s18,1f5rkfcrfyicvxibzysa0cccmr4:1662159902189,2
c10,s18,4oifbwat2uaeh7eapotvo38s9zi:1661367042932,13
c10,s18,578ftqbbxhncdx9dul3c2ncflbm:1660602667634,42
c10,s18,_ro_efaa9jivldnvjcqdji104hk:1662576721472,52
c10,s18,afl0crfrdfmiyc1kgyb_azi3tnw:1670010212894,79
c10,s18,boab8iqhmhglzk4anmseuidxb5i:1667853463722,88
c10,s18,bslpvt5rfvrceeueyaizigytgse:1667502983196,253
c10,s18,c1ijekpsxy7bbrylpcbcjxgdqz0:1663269822165,116
c10,s18,c3j9bw39qzptkzxaavrjaxbc2z8:1661209062553,134
c10,s18,cyzlz86rwopgtjkj1tobtgik4ew:1661539559109,31
c10,s18,djuagow-qb9_bferjit8g6rw24q:1660688818245,2
c10,s18,dxiw3nwbymsac9heavzdjp9gjwg:1669923884505,235
c10,s18,fkag_vlyvhjap0jsr1pwf_jxnjo:1666293793823,392
